Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Topas Personal Dietikon AG Zweigniederlassung,7000 Chur,https://www.swissstaffing.ch/en/Members/index.php?id=37377,Swiss Staffing,1,Staffing / HR,
Topas Personal Uster AG,8610 Uster,https://www.swissstaffing.ch/en/Members/index.php?id=33995,Swiss Staffing,1,Staffing / HR,
Topas Personal Winterthur AG,8400 Winterhur,https://www.swissstaffing.ch/en/Members/index.php?id=34172,Swiss Staffing,1,Staffing / HR,
Topaz Wealth AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
topboard.ch,,https://www.swissmadesoftware.org/en/companies/topboard/home.html,Swiss Made Software,1,Software,
Tophinke AG,Hochdorf,https://www.tophinke.ch,Swissolar,1,Solar / energy,Ziegeleihof 7
Tophinke Automation & Gebäudetechnik AG,Luzern,https://www.tophinke.ch/,swisscleantech,1,Cleantech / energy,Maschinen- / Anlagebau
Topocrom Systems AG,Neuhausen,https://www.topocrom.ch,Swissmem,1,Industry / engineering,
Topomat technologies,,https://www.swissmadesoftware.org/en/companies/topomat-technologies/home.html,Swiss Made Software,1,Software,
TopRoc AG,Biel/Bienne,http://www.toproc.ch/,Swissmechanic,1,Industry / SMEs,"TopRoc AG, Fritz-Oppliger-Strasse 21, 2504 Biel/Bienne"
TopSolid Switzerland AG,Cham,http://www.topsolid.ch/,Swissmechanic,1,Industry / SMEs,"TopSolid Switzerland AG, Gewerbestrasse 11, 6330 Cham"
torck capital management AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Tornos SA,Moutier,https://www.tornos.com,Swissmem,1,Industry / engineering,
Torri Invest AG,Küsnacht ZH,,FINMA,1,Regulated financial services,Portfolio manager
TOS AG,Bern,,FINMA,1,Regulated financial services,Trustee
Toshiba Tec Switzerland AG,8048 Zürich,https://www.toshibatec.ch/,Swico,1,ICT / consumer electronics,
TOTEM Wealth Management SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Tour de Suisse Rad AG,Thurgau,https://www.tds-rad.ch/ueber-uns,swisscleantech,1,Cleantech / energy,Mobilität / Transport / Logistik
Touring Club Schweiz (TCS),,http://www.tcs.ch,asut,1,Telecom / digital infrastructure,
Tourisoft Sarl - Hotel-Spider,,https://www.swissmadesoftware.org/en/companies/tourisoft-sarl/home.html,Swiss Made Software,1,Software,
"TP ICAP Broking Limited, Londres, succursale de Genève",Genève,,FINMA,1,Regulated financial services,Foreign securities firm branch office
"TP ICAP E&C Limited, Londres, représentée en Suisse par TP ICAP Broking Limited, succursale de Genève",Genève,,FINMA,1,Regulated financial services,Foreign securities firm representative office
"TP Vision Europe B.V. Amsterdam, Switzerland",8952 Schlieren,https://www.tpvision.com/,Swico,1,ICT / consumer electronics,
Trabeco AG,8050 Zürich; 8600 Dübendorf; 8640 Rapperswil,https://www.swissstaffing.ch/en/Members/index.php?id=15574,Swiss Staffing,1,Staffing / HR,
tracking-rail GmbH,Olten,,Swissmem,1,Industry / engineering,
tracking-rail GmbH Schweiz,,https://tracking-rail.ch,Swissrail,1,Rail / transport technology,
Tradeum AG,,https://www.swissmadesoftware.org/en/companies/tradeum-ag/home.html,Swiss Made Software,1,Software,
TradeXBank AG,8002 Zurich; Zürich,https://tradexbank.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
"TRADITION SECURITIES AND FUTURES, Paris, succursale de Genève",Genève,,FINMA,1,Regulated financial services,Foreign securities firm branch office
Trafag AG,Bubikon,https://www.trafag.com,Swissmem,1,Industry / engineering,
Trafar AG,Uetendorf,http://www.trafar.ch/,Swissmechanic,1,Industry / SMEs,"Trafar AG, Glütschbachstrasse 42, 3661 Uetendorf"
Trafida SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
Trafiko AG,Luzern,https://trafikpoint.ch/,swisscleantech,1,Cleantech / energy,Mobilität / Transport / Logistik
Trafina Privatbank AG,4020 Basel; Basel,http://www.trafina.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Trägerverein Energiestadt,Basel-Landschaft,http://www.energiestadt.ch/organisation/traegerverein-energiestadt/,swisscleantech,1,Cleantech / energy,
Traila AG,,http://www.traila.ch,Swissrail,1,Rail / transport technology,
Trajectoire Capital Group SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Tramondo Investment Partners AG,Zug,,FINMA,1,Regulated financial services,Manager of collective assets
Transalp Services SA,Châtelaine,,FINMA,1,Regulated financial services,Portfolio manager
transfair,,http://www.transfair.ch,asut,1,Telecom / digital infrastructure,
Transgourmet Schweiz AG,Moosseedorf,,swissICT,1,ICT / digital,
Transmonde Réassurance AG,Baar,,FINMA,1,Regulated financial services,reinsurance captive
Transmutex SA,Genf,https://www.transmutex.com/,swisscleantech,1,Cleantech / energy,Abfallentsorgung / Recycling
Transpareo AG,6300 Zug,http://www.transpareo.com/,Swico,1,ICT / consumer electronics,
Transro AG,Wohlen AG,https://www.transro.ch,Swissmem,1,Industry / engineering,
Transtronic AG,Canton of Schwyz,https://transtronic-ag.ch/,Swiss Medtech,1,Medical technology,
TRANSVER AG,Altendorf,http://www.transver.com/,Swissmechanic,1,Industry / SMEs,"TRANSVER AG, Zürcherstrasse 42, 8852 Altendorf"
Trapo Küng AG,Zwingen,https://www.trapo.ch,Swissmem,1,Industry / engineering,
Tratson GmbH,Aargau,https://www.tratson.ch/,swisscleantech,1,Cleantech / energy,"Baugewerbe / Immobilien, Detail- und Grosshandel, Produktion / Industrie"
Travelletti & Biner SA,Ayent,https://www.travellettibiner.ch,Swissolar,1,Solar / energy,ZA Bré de Blignou 15
Travizory Border Security SA,,https://www.swissmadesoftware.org/en/companies/travizory-border-security-sa/home.html,Swiss Made Software,1,Software,
Traxess AG,,https://www.swissmadesoftware.org/en/companies/traxess-ag/home.html,Swiss Made Software,1,Software,
Treefield Partners AG,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
TreeSolution Security Awareness AG,,https://www.swissmadesoftware.org/en/companies/treesolution-security-awareness-ag/home.html,Swiss Made Software,1,Software,
treeze Ltd.,Zürich,http://treeze.ch,swisscleantech,1,Cleantech / energy,Beratung / Consulting
treibauf AG,,https://www.swissmadesoftware.org/en/companies/treibauf-ag/home.html,Swiss Made Software,1,Software,
Trelco AG,,https://www.trelco.ch/,Swissrail,1,Rail / transport technology,
Trelleborg Sealing Solutions,Basadingen,,Swissmechanic,1,Industry / SMEs,"Trelleborg Sealing Solutions, Schulstrasse 40, 8254 Basadingen"
Trelleborg Sealing Solutions Schlatt AG,Schlatt,http://www.lehmann-mechanik.ch/,Swissmechanic,1,Industry / SMEs,"Trelleborg Sealing Solutions Schlatt AG, Diessenhoferstrasse 14, 8252 Schlatt"
Trelleborg Sealing Solutions Switzerland SA,Canton of Vaud; Crissier,https://www.trelleborg.com/de-de/seals,Swiss Medtech; Swissmem,2,Industry / engineering; Medical technology,
Trend Micro (Schweiz) GmbH,8304 Wallisellen,https://www.trendmicro.com/de_de/business.html,Swico,1,ICT / consumer electronics,
Trenda AG,,https://www.swissmadesoftware.org/en/companies/trenda-ag/home.html,Swiss Made Software,1,Software,
Trendhosting,,https://www.swissmadesoftware.org/en/companies/trendhosting/home.html,Swiss Made Software,1,Software,
trendreha ag,Canton of Freiburg,https://www.trendreha.ch/,Swiss Medtech,1,Medical technology,
Tresio AG,,https://www.swissmadesoftware.org/en/companies/tresio-ag/home.html,Swiss Made Software,1,Software,
TRESMER AG,8303 Bassersdorf,http://www.tresmer.ch/,Swico,1,ICT / consumer electronics,
TRESOLAR AG,Baar,https://www.tresolar.ch,Swissolar,1,Solar / energy,Ruessenstrasse 8
Treuco AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
TRI Dental Implants Int. AG,Canton of Zug,https://tri-implants.swiss/de,Swiss Medtech,1,Medical technology,
Triag AG,Allenwinden,https://www.triag.com,Swissmem,1,Industry / engineering,
TRIAG International AG,Hünenberg,https://www.triag-int.ch,Swissmem,1,Industry / engineering,
Trianon Family Office AG,Baar,,FINMA,1,Regulated financial services,Portfolio manager
Trianon SA,Nyon,https://www.swissmadesoftware.org/en/companies/trianon-sa/home.html,FINMA; Swiss Made Software,2,Regulated financial services; Software,Manager of collective assets
Triaplus,Oberwil bei Zug,,swissICT,1,ICT / digital,
triarc laboratories Ltd.,,https://www.swissmadesoftware.org/en/companies/triarc-laboratories-ltd./home.html,Swiss Made Software,1,Software,
Triatlum Advisors AG,Wollerau,,FINMA,1,Regulated financial services,Portfolio manager
Triaxis AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Tribecraft AG,Canton of Zurich,https://www.tribecraft.ch/,Swiss Medtech,1,Medical technology,
Tribecraft AG - Innovators Designers Engineers,Zürich,http://www.tribecraft.ch/,swisscleantech,1,Cleantech / energy,"Ingenieurwissenschaft, Maschinen- / Anlagebau, Produktion / Industrie"
tribework AG,8952 Schlieren,https://tribework.ch/,Swico,1,ICT / consumer electronics,
Tribur Invent GmbH,Hünenberg,https://www.tribur.ch,Swissmem,1,Industry / engineering,
Trident Trust (Switzerland) AG,Zürich,,FINMA,1,Regulated financial services,Trustee
TRIENERGY Solutions AG,Olten,https://www.trienergy-solutions.com,Swissolar,1,Solar / energy,Baslerstrasse 90
trifact AG,Rothenburg,https://www.swissmadesoftware.org/en/companies/trifact-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
Trifolium Karcher + Partner,Basel,,FINMA,1,Regulated financial services,Portfolio manager
Trifork AG,8834 Schindellegi; Schindellegi,https://trifork.com/,asut; digitalswitzerland; Swico; swissICT,4,Digital economy; ICT / consumer electronics; ICT / digital; Telecom / digital infrastructure,
Trigon AG,,http://www.trigon.ch,asut,1,Telecom / digital infrastructure,
Trigon Büro Luzern,,http://www.trigon.at/berater/suzanne-ruf/,asut,1,Telecom / digital infrastructure,
Trigon Family Office AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Trillium SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets
Trimos S.A.,Renens VD,https://www.trimos.com,Swissmem,1,Industry / engineering,
Trimos SA,Renens,http://www.trimos.ch/,Swissmechanic,1,Industry / SMEs,"Trimos SA, 5, Av. de Longemalle, 1020 Renens"
Trinkler SA,Savosa,https://www.trinklersa.ch,Swissolar,1,Solar / energy,via Sole 29A
Trinnovo Group GmbH,6300 Zug,https://www.swissstaffing.ch/en/Members/index.php?id=39698,Swiss Staffing,1,Staffing / HR,
trinovent GmbH,Oberengstringen,http://www.trinovent.ch,Swissmem,1,Industry / engineering,
trinq® AG,Thurgau,https://www.trinq.ch/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
Trinseo Europe GmbH,Gwattstrasse 15 8808 Pfäffikon SZ,https://,scienceindustries,1,Pharma / biotech / chemistry,
TRIO Personal SG AG,9500 Wil,https://www.swissstaffing.ch/en/Members/index.php?id=31083,Swiss Staffing,1,Staffing / HR,
TRIO Personal Wil AG,9500 Wil,https://www.swissstaffing.ch/en/Members/index.php?id=31084,Swiss Staffing,1,Staffing / HR,
Trio Personalconsulting GmbH,9500 Wil SG,https://www.swissstaffing.ch/en/Members/index.php?id=32604,Swiss Staffing,1,Staffing / HR,
Trio Personalmanagement AG,8500 Frauenfeld,https://www.swissstaffing.ch/en/Members/index.php?id=30854,Swiss Staffing,1,Staffing / HR,
Trioform AG,Degersheim,http://www.trioform.ch/,Swissmechanic,1,Industry / SMEs,"Trioform AG, Hauptstrasse 89, 9113 Degersheim"
Trion Invest AG,Bern,,FINMA,1,Regulated financial services,Portfolio manager
Triopan AG,Steinach,https://www.perfecta.ch,Swissmem,1,Industry / engineering,
triple w team ag,,https://www.swissmadesoftware.org/en/companies/triple-w-team-ag/home.html,Swiss Made Software,1,Software,
Triple-M Systems AG,,https://www.swissmadesoftware.org/en/companies/triple-m-systems-ag/home.html,Swiss Made Software,1,Software,
Trireme Finance SA,Holzhäusern ZG,,FINMA,1,Regulated financial services,Portfolio manager
Trisa AG,Triengen,,swissICT,1,ICT / digital,
Trisol Solutions Energétiques SA,Ecublens,https://trisol.ch,Swissolar,1,Solar / energy,Champs-Courbes 5
tritec AG,Aarberg; Biel; Chur; Eischoll; Le Mont-sur-Lausanne; Regensdorf; Ruswil; Steg; Volketswil,https://www.tritec.ch,Swissolar,1,Solar / energy,Alte Lyssstrasse 2; Althardstrasse 80; Beeschi Mattenstrasse 2; Chemin de Budron H 11; Chriesbaumstrasse 2; Hauptstrasse 7; Mohnweg 5; Raschärenstrasse 30; Wolhuserstrasse 31 / 33
TRIUS Partners AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
Triviso AG,,https://www.swissmadesoftware.org/en/companies/triviso-ag/home.html,Swiss Made Software,1,Software,
Tröpfel GmbH,Thurgau,https://troepfel.ch/,swisscleantech,1,Cleantech / energy,Nahrungs- / Futter- / Getränkeindustrie
TROX HESCO Schweiz AG,Rüti ZH,https://www.troxhesco.ch,Swissmem,1,Industry / engineering,
Truast AG,,https://www.swissmadesoftware.org/en/companies/truast-ag/home.html,Swiss Made Software,1,Software,
TRUcompany AG,Romanshorn,https://www.fatzer.com,Swissmem,1,Industry / engineering,
True Magma AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
True Wealth AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Truecode Engineering GmbH,,https://www.swissmadesoftware.org/en/companies/truecode-engineering-gmbh/home.html,Swiss Made Software,1,Software,
Truesoft AG,,https://www.swissmadesoftware.org/en/companies/truesoft-ag/home.html,Swiss Made Software,1,Software,
Trufid GmbH,Teufen AR,,FINMA,1,Regulated financial services,Portfolio manager
Trumag International AG,Basel,,FINMA,1,Regulated financial services,Trustee
TRUMPF Schweiz AG,Canton of Graubünden; Grüsch,https://www.ch.trumpf.com/,Swiss Medtech; Swissmechanic; Swissmem,3,Industry / engineering; Industry / SMEs; Medical technology,"TRUMPF Schweiz AG, TRUMPF Strasse 8, 7214 Grüsch"
Truninger Plot24AG - UhuCloud,,https://www.swissmadesoftware.org/en/companies/truninger-plot24ag---uhucloud/home.html,Swiss Made Software,1,Software,
Trunz Water Systems AG,,http://www.trunzwatersystems.com/,swisscleantech,1,Cleantech / energy,
Trust FIN GmbH,,https://www.swissmadesoftware.org/en/companies/trust-fin-gmbh/home.html,Swiss Made Software,1,Software,
Trüstasolar GmbH,Steinhausen,https://www.truestasolar.ch,Swissolar,1,Solar / energy,Hinterbergstrasse 24
TRUSTCANADA SA,Genève,,FINMA,1,Regulated financial services,Trustee
Trusted Advisors Wealth Management AG,Küsnacht ZH,,FINMA,1,Regulated financial services,Portfolio manager
Trusted Quality Switzerland GmbH,Zürich-Flughafen,,swissICT,1,ICT / digital,
Trustena GmbH,Zürich,,FINMA,1,Regulated financial services,Trustee
Trustis AG,Zug,,FINMA,1,Regulated financial services,Trustee
TrustQore (Switzerland) SA,Genève,,FINMA,1,Regulated financial services,Trustee
Trustsoft (Schweiz) GmbH,Zug,,swissICT,1,ICT / digital,
Trustsoft GmbH,8001 Zürich,https://www.trustsoft.eu/,Swico,1,ICT / consumer electronics,
TrustStone real estate SICAV,Morges,,FINMA,1,Regulated financial services,Investment company with variable capital (SICAV)
TrustVal GmbH,Luzern,https://trustval.com/,swisscleantech,1,Cleantech / energy,IT / Medien / Telekommunikation
TRY ENERGY SA,Chavornnay,https://www.tryenergy.ch,Swissolar,1,Solar / energy,chemin de la Pale 2
"Tryg Forsikring A/S, Ballerup, Zweigniederlassung Zürich (Schweiz)",Zürich,,FINMA,1,Regulated financial services,Non-life insurer
TS Q&E GmbH,Canton of Zug,https://tsquality.ch/,Swiss Medtech,1,Medical technology,
Tschanz Treuhand AG,Lyss,,swissICT,1,ICT / digital,
Tschudin + Heid AG,Waldenburg,https://www.tschudinheid.ch,Swissmem,1,Industry / engineering,
TSCHUDIN AG,Grenchen,https://tschudin.swiss/,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Tschudin AG, Neckarsulmstrasse 41, 2540 Grenchen"
TSE Troller AG,Murgenthal,http://www.tse-coating.ch/,Swissmechanic,1,Industry / SMEs,"TSE Troller AG, Aareweg 6, 4853 Murgenthal"
"TSM Compagnie d'Assurances, Société coopérative",La Chaux-de-Fonds,,FINMA,1,Regulated financial services,Non-life insurer
TTB Engineering SA,Riva San Vitale,https://www.ttb-eng.com,Swissmem,1,Industry / engineering,
Tulux AG,Tuggen,http://www.tulux.ch/,Swissmechanic,1,Industry / SMEs,"Tulux AG, Tödistrasse 4, 8856 Tuggen"
Tumagest SA,Chiasso,,FINMA,1,Regulated financial services,Portfolio manager
TUNAP AG,Märstetten,https://www.tuanp.ch,Swissmem,1,Industry / engineering,
Tune Capital AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
Tune Insight SA,,https://www.swissmadesoftware.org/en/companies/tune-insight-sa/home.html,Swiss Made Software,1,Software,
Turbo-Separator AG,Wattwil,https://www.turbo-separator.ch,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Turbo-Separator AG, Bleikenstrasse 48, 9630 Wattwil"
TurboIT GmbH,6340 Baar,https://turboit.ch/,Swico,1,ICT / consumer electronics,
Turcapital AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
Turicum Asset Management AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Turicum Investment Management AG,Baar,,FINMA,1,Regulated financial services,Portfolio manager
"Turicum Private Bank Limited, Gibraltar, Repräsentanz in Zürich",Zürich,,FINMA,1,Regulated financial services,Foreign bank representative office
TUS Telekommunikation und Sicherheit,,http://www.igtus.ch,asut,1,Telecom / digital infrastructure,
TUSA PRECISION TOOLS SA,Mezzovico,https://tusa-precision.ch,Swissmem,1,Industry / engineering,
TÜV SÜD Schweiz AG,,https://www.tuvsud.com/ch,Swissrail,1,Rail / transport technology,
TVP Solar SA,Genf; Satigny,https://www.tvpsolar.com,swisscleantech; Swissolar,2,Cleantech / energy; Solar / energy,"Energiewirtschaft, Maschinen- / Anlagebau; Rue du Pré de la Fontaine 10"
TVR Treuhand AG,Basel,,FINMA,1,Regulated financial services,Portfolio manager
Twelve Capital AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Twenty20 Trustees SA,Genève,,FINMA,1,Regulated financial services,Trustee
Twiliner AG,Keiner,https://twiliner.com/,swisscleantech,1,Cleantech / energy,Mobilität / Transport / Logistik
TwinCap First AG,,https://www.swissmadesoftware.org/en/companies/twincap-first-ag/home.html,Swiss Made Software,1,Software,
TWINT AG,Zürich,,digitalswitzerland; swissICT,2,Digital economy; ICT / digital,
TX Group AG,Zürich,,swissICT,1,ICT / digital,
TXT e-Swiss SA,,https://swiss-aerospace-cluster.ch/portfolio-item/txt-e-swiss-sa/,Swiss Aerospace Cluster,1,Aerospace / engineering,
Tyco Integrated Fire & Security (Schweiz) AG,Pfäffikon SZ,https://www.tyco.ch,Swissmem,1,Industry / engineering,
TypoByte,,https://www.swissmadesoftware.org/en/companies/typobyte/home.html,Swiss Made Software,1,Software,
Tyrolit Hydrostress AG,Pfäffikon ZH,https://www.tyrolit.com,Swissmem,1,Industry / engineering,
Tyrolit Nestag AG,Eptingen,https://www.tyrolit.ch/nestag-ag,Swissmem,1,Industry / engineering,
Tyson AG,8004 Zürich,https://www.swissstaffing.ch/en/Members/index.php?id=35693,Swiss Staffing,1,Staffing / HR,
tytec AG solutions,,https://www.tytec.ch/,Swissrail,1,Rail / transport technology,
U Wealth SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
u-blox AG,,https://swiss-aerospace-cluster.ch/portfolio-item/u-blox-ag/,Swiss Aerospace Cluster,1,Aerospace / engineering,
U. Hauenstein Heizung Lüftung Sanitär AG,Steffisburg,https://www.hauensteinag.ch,Swissolar,1,Solar / energy,Thunstrasse 12
UASystems SA,,https://swiss-aerospace-cluster.ch/portfolio-item/uasystems/,Swiss Aerospace Cluster,1,Aerospace / engineering,
UB-TS Racing SA,Roche VD,https://www.ub-ts.com,Swissmem,1,Industry / engineering,
Uber,,,digitalswitzerland,1,Digital economy,
Uber Switzerland GmbH,8008 Zürich,https://www.uber.com/ch/de/,Swico,1,ICT / consumer electronics,
Übermorgen Ventures AG,Zürich,https://Website https://www.uebermorgen.vc/,swisscleantech,1,Cleantech / energy,Finanz- und Versicherungsdienstleister
Ubique Innovation AG,8001 Zürich,https://www.ubique.ch/,Swico,1,ICT / consumer electronics,
UBit Schweiz AG,8400 Winterthur,https://www.ubit.ch/,Swico,1,ICT / consumer electronics,
UBS AG,Zürich,http://www.ubs.com,asut; digitalswitzerland; FINMA,3,Digital economy; Regulated financial services; Telecom / digital infrastructure,Bank
UBS Asset Management Switzerland AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
UBS Business Solutions AG,Zürich,,swissICT,1,ICT / digital,
UBS Clean Energy Infrastructure Switzerland 2 KmGK,Basel,,FINMA,1,Regulated financial services,Limited partnership for collective investment schemes
"UBS Europe SE, Frankfurt am Main, Zweigniederlassung Schweiz, Opfikon",Opfikon,,FINMA,1,Regulated financial services,Foreign bank branch office
UBS Fund Management (Switzerland) AG,Basel,,FINMA,1,Regulated financial services,Fund management company; Representatives of foreign collective investment schemes (CISA)
UBS Switzerland AG,8098 Zurich; Zürich,http://www.ubs.com/1/g/index.html,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Custodian bank
UCAP Wealth Management Switzerland AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
UCB,,,Interpharma,1,Research-based pharma,
UCB-Pharma AG,"10, Chemin de Croix Blanche 1630 Bulle",https://www.ucbsuisse.ch,scienceindustries,1,Pharma / biotech / chemistry,
ucentrics AG,Zürich,https://www.ucentrics.com,Swissmem; Swissrail,2,Industry / engineering; Rail / transport technology,
Uchronic SA,,https://www.swissmadesoftware.org/en/companies/uchronic-sa/home.html,Swiss Made Software,1,Software,
UCM AG,Canton of St. Gallen; Rheineck,https://www.ucm-ag.com/,Swiss Medtech; Swissmem,2,Industry / engineering; Medical technology,
ufamed AG,Kornfeldstrasse 2 6210 Sursee,https://www.ufamed.ch,scienceindustries,1,Pharma / biotech / chemistry,
Ufenau Capital Partners AG,Pfäffikon SZ,,FINMA,1,Regulated financial services,Manager of collective assets
UG Europe AG,Baar,,FINMA,1,Regulated financial services,Securities firm
UHC Consulting,Lufingen,,swissICT,1,ICT / digital,
UIG - Union Industrielle Genevoise,Genève 3,http://www.uig.ch/,Swissmechanic,1,Industry / SMEs,"UIG - Union Industrielle Genevoise, 98, rue de Saint-Jean, 1211 Genève 3"
UIKER Antriebstechnik AG,Freienbach; Landquart,http://www.uiker.ch/,Swissmechanic,1,Industry / SMEs,"UIKER Antriebstechnik AG, Freihofstrasse, 7302 Landquart; UIKER Antriebstechnik AG, Schwerzistrasse 30, 8807 Freienbach"
Ul Solar SA,Gorduno,https://www.ulsolar.ch,Swissolar,1,Solar / energy,Via Rivi Munt 29
Uliasti GmbH,8005 Zürich,https://www.uliasti.com/,Swico,1,ICT / consumer electronics,
ULIT Capital AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Ulmaco SA,Nyon,http://www.ulmaco.ch/,Swissmechanic,1,Industry / SMEs,"Ulmaco SA, Route du Stand 21, 1260 Nyon"
Ulrich AG,Canton of St. Gallen,https://www.ulrich-swiss.ch/,Swiss Medtech,1,Medical technology,
ulrich.digital,,https://www.swissmadesoftware.org/en/companies/ulrich.digital/home.html,Swiss Made Software,1,Software,
ultraperfekt sàrl,,https://www.swissmadesoftware.org/en/companies/ultraperfekt-s-rl/home.html,Swiss Made Software,1,Software,
UMA Swiss AG,Zürich,,FINMA,1,Regulated financial services,Trustee
umana e-health AG,,https://www.swissmadesoftware.org/en/companies/umana-e-health-ag/home.html,Swiss Made Software,1,Software,
UMB AG,6330 Cham; Volketswil,https://www.umb.ch,Swico; Swiss Made Software; swissICT,3,ICT / consumer electronics; ICT / digital; Software,
"UMB AG, Zweigniederlassung Volketswil",8604 Volketswil,https://www.umb.ch,Swico,1,ICT / consumer electronics,
Umbrella Organisation U+O AG,8620 Wetzikon ZH,https://umbrella.ch/,Swico,1,ICT / consumer electronics,
Umbrella Solutions AG,,https://www.swissmadesoftware.org/en/companies/umbrella-solutions-ag/home.html,Swiss Made Software,1,Software,
Umtec Technologie AG,Zürich,https://www.utechag.ch/index.php?id=107,swisscleantech,1,Cleantech / energy,sonstige Dienstleistungen
Unblu Inc.,,https://www.swissmadesoftware.org/en/companies/unblu-inc./home.html,Swiss Made Software,1,Software,
Unchained Commerce,,https://www.swissmadesoftware.org/en/companies/unchained-commerce/home.html,Swiss Made Software,1,Software,
Und Du AG,Solothurn,https://unddu.swiss,Swissolar,1,Solar / energy,Zuchwilerstrasse 21
Unic AG,3097 Liebefeld; Bern - Liebefeld,https://www.unic.com/,Swico; Swiss Made Software; swissICT,3,ICT / consumer electronics; ICT / digital; Software,
Unic Partner Vermögensverwaltung AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Unicef,,,digitalswitzerland,1,Digital economy,
"UniCredit Bank GmbH, München, Succursale de Genève, en liquidation",Zürich,,FINMA,1,Regulated financial services,Foreign bank branch office
Uniestro AG,,https://www.swissmadesoftware.org/en/companies/uniestro-ag/home.html,Swiss Made Software,1,Software,
Unifortune Asset Management SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
Unigestion SA,Genève 12,,FINMA,1,Regulated financial services,Manager of collective assets; Representatives of foreign collective investment schemes (CISA)
Uniklinik Balgrist,Zürich,,swissICT,1,ICT / digital,
Uniman SA,1004 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=13318,Swiss Staffing,1,Staffing / HR,
Unimed S.A.,Canton of Vaud,https://www.unimed.ch/,Swiss Medtech,1,Medical technology,
UNIMED SA,Ecublens VD,http://www.unimed.ch/,Swissmechanic,1,Industry / SMEs,"UNIMED SA, Avenue du tir-fédéral 56, 1024 Ecublens VD"
Unimission AG,Rümlang,,swissICT,1,ICT / digital,
"Union Bancaire Privée, UBP SA",1211 Genève,http://www.ubp.com/,Swiss Banking,1,Banking,
"UNION BANCAIRE PRIVEE, UBP SA",Genève 1,,FINMA,1,Regulated financial services,Bank; Representatives of foreign collective investment schemes (CISA)
UNION GmbH Qualitätsketten,Brügg BE,https://www.kettenunion.ch,Swissmem,1,Industry / engineering,
Union Group AG,8048 Zürich,https://union-group.ch,Swico,1,ICT / consumer electronics,
Union Securities Switzerland SA,Genève,,FINMA,1,Regulated financial services,Securities firm
UNIQ CAPITAL SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Uniq Investments SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
"UNIQA Österreich Versicherungen AG, Wien, Zweigniederlassung Zürich",Zürich,,FINMA,1,Regulated financial services,Non-life insurer
UNIQA Re AG,Zürich,,FINMA,1,Regulated financial services,Professional reinsurer
UNIQA Versicherung Aktiengesellschaft,Vaduz,,FINMA,1,Regulated financial services,Insurance activities through the free provision of services in Switzerland
Uniqode GmbH,,https://www.swissmadesoftware.org/en/companies/uniqode-gmbh/home.html,Swiss Made Software,1,Software,
uniQservice ag,8303 Bassersdorf,https://www.uniqservice.ch/,Swico,1,ICT / consumer electronics,
Unique Ressources Humaines SA,1003 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=15825,Swiss Staffing,1,Staffing / HR,
UNISERS AG,Zürich,https://unisers.ch/,Swissmem,1,Industry / engineering,
unisoft consulting gmbh,5614 Sarmenstorf,https://usc.ch/,Swico,1,ICT / consumer electronics,
Unison Investments AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Unisto AG,Horn,http://www.unisto.ch/,Swissmechanic,1,Industry / SMEs,"Unisto AG, Seestrasse 7, 9326 Horn"
